Author Number,Author Quote,Author Name
27,"“As more and more artificial intelligence is entering into the world, more and more emotional intelligence must enter into leadership.”",– Amit Ray
28,"“I’m increasingly inclined to think that there should be some regulatory oversight, maybe at the national and international level, just to make sure that we don’t do something very foolish. I mean with artificial intelligence we’re summoning the demon.” ",– Elon Musk
29,"“As more and more artificial intelligence is entering into the world, more and more emotional intelligence must enter into leadership.”",– Amit Ray
30,"“I’m more frightened than interested by artificial intelligence – in fact, perhaps fright and interest are not far away from one another. Things can become real in your mind, you can be tricked, and you believe things you wouldn’t ordinarily. A world run by automatons doesn’t seem completely unrealistic anymore. It’s a bit chilling.” ",– Gemma Whelan
31,"“The upheavals [of artificial intelligence] can escalate quickly and become scarier and even cataclysmic. Imagine how a medical robot, originally programmed to rid cancer, could conclude that the best way to obliterate cancer is to exterminate humans who are genetically prone to the disease.”",– Nick Bilton
32,"“The development of full artificial intelligence could spell the end of the human race….It would take off on its own, and re-design itself at an ever-increasing rate. Humans, who are limited by slow biological evolution, couldn’t compete, and would be superseded.”",– Stephen Hawking
33,"“We must address, individually and collectively, moral and ethical issues raised by cutting-edge research in artificial intelligence and biotechnology, which will enable significant life extension, designer babies, and memory extraction.”",– Klaus Schwab
34,"“If the government regulates against the use of drones or stem cells or artificial intelligence, all that means is that the work and the research leave the borders of that country and go someplace else.”",– Peter Diamandis
35,"“The real question is, when will we draft an artificial intelligence bill of rights? What will that consist of? And who will get to decide that?”",– Gray Scott
36,"“By far, the greatest danger of Artificial Intelligence is that people conclude too early that they understand it.”",– Eliezer Yudkowsky
37,"“If we do it right, we might be able to evolve a form of work that taps into our uniquely human capabilities and restores our humanity. The ultimate paradox is that this technology may become a powerful catalyst that we need to reclaim our humanity.”",– John Hagel
38,"“I’m increasingly inclined to think that there should be some regulatory oversight, maybe at the national and international level, just to make sure that we don’t do something very foolish. I mean with artificial intelligence we’re summoning the demon.”",– Elon Musk
39,"“I don’t want to really scare you, but it was alarming how many people I talked to who are highly placed people in AI who have retreats that are sort of ‘bug out’ houses, to which they could flee if it all hits the fan.”",– James Barrat
40,"“We have seen AI providing conversation and comfort to the lonely; we have also seen AI engaging in racial discrimination. Yet the biggest harm that AI is likely to do to individuals in the short term is job displacement, as the amount of work we can automate with AI is vastly larger than before. As leaders, it is incumbent on all of us to make sure we are building a world in which every individual has an opportunity to thrive.”",– Andrew Ng
Author Number,Author Quote,Author Name
41,"Nothing is impossible. In the word, you find that it says, ""I'm possible!"" ", Audrey Hepburn
42,"People may forget your words, your actions but they will never forget the feelings that you gave them ", Maya Angelou
43,"If you think you can or you can't, you are right ", Henry Ford
44,"It is not possible to attain perfection but by chasing it, we can attain excellence ", Vince Lombardi
45,"In life, 10% is what happens to you and 90% is how you react to it ", Charles Swindoll
46,"By looking at what you already have in your life, you will always get more. By looking at what you don't have in life, you will never have enough ", Oprah Winfrey
47,No one can make you feel small without your permission , Eleanor Roosevelt
48,You may not be able to change the direction of the wind but you can adjust your sails to reach your destination , Jimmy Dean
49,"By believing that you can, you are already halfway there ", Theodore Roosevelt
50,Handle yourself using your head and handle others using your heart , Eleanor Roosevelt
51,Many people are not living their dreams because they are living their fears , Les Brown
52,You either do or do not. There is no trying , Yoda
53,"Anything that your mind can conceive and believe, you can achieve ", Napoleon Hill
54,"In 20 years, you will be more disappointed in the things that you didn't do than the ones you actually did. So sail away from your safe harbor and dare to dream, explore and discover ", Mark Twain
55,I have failed many times in my life and that is why I succeed , Michael Jordan
56,"Try your best to be a man of value, not to be a man success ", Albert Einstein
57,"Instead of being a product of my circumstances, I am a product of my decisions ", Stephen Covey
58,"When the events in your life are steadily going against you, remember that planes take off against the wind and not with it ", Henry Ford
59,The most effective way through which people give up their personal power is by thinking that they don't have any , Alice Walker
60,The hardest step is the decision to act. The rest of the way is simply tenacity , Amelia Earhart
61,"During our darkest moments of life, we must strive to see the light ", Aristotle Onassis
62,Do not judge your days by the fruit that you harvest but by the seeds that you sow , Robert Louis Stephenson
63,The way to accomplish great work is by having a love for it , Steve Jobs
64,"To change your world, begin with your thoughts ", Norman Vincent Peale
65,"The question should not be who is going to let you, but who is going to try and stop you ", Ayn Rand
66,"If you hear a voice in your head saying that you cannot do something, do exactly what it says you can't and you will silence it permanently ", Vincent Van Gogh
67,Work on your own dreams or someone else will hire you to work on theirs , Farrah Gray
68,"Sometimes, not getting what you want is a superb stroke of luck ", Dalai Lama
69,"The more you use up creativity, the more of it you will have ", Maya Angelou
70,"To diminish your fear, make up your mind ", Rosa Parks
71,It is better to die of passion than of boredom , Vincent Van Gogh
72,A man who is truly rich is the one whose children run into his arms even when his hands are empty , Unknown
73,Anyone who has never made a mistake has never tried anything new , Albert Einstein
74,"What is money? If you get up in the morning, spend your day doing what you want to do and then go to bed in the evening, you are successful ", Bob Dylan
75,You must act on your knowledge and will in an urgent manner , Leonardo da Vinci
76,"To lift yourself up, lift up someone else ", Booker T. Washington
77,Use your imagination to eliminate your limitations and experience limitless possibilities , Jamie Paolinetti
78,"When you are offered a seat on a rocket ship, don't waste time asking what seat it is, simply get on! ", Sheryl Sandberg
79,"Many things will catch your eye, pursue those that catch your heart ", Old Indian proverb
80,"When a specific door of happiness closes, another one opens up immediately. Many of us do not see the open one because we spend too much time looking at the closed one ", Helen Keller
81,Everything is beautiful but not everyone sees it , Confucius
82,It would be very beautiful if everyone did not waste a single moment before beginning to improve the world , Anne Frank
83,Happinesss is the key to life , John Lennon
84,The person you decide to be is the one you are destined to be , Ralph Waldo Emerson
85,"We may not be able to help everyone, but everyone is able to help someone ", Ronald Reagan
86,On the other side of fear is everything that you have ever wanted in life , George Addair
87,It's easy to forgive a child who is afraid of the dark. The biggest tragedy however is when grown men are afraid of the light , Plato
88,Nothing will work unless you do it , Maya Angelou
89,I may not be able to change the world but I can cast a stone upon the water so as to create multiple ripples , Mother Teresa
